ENSMUST00000006139	848
ENSMUST00000005122	804
ENSMUST00000015386	1104
ENSMUST00000003922	685
ENSMUST00000013615	2289
ENSMUST00000001284	1115
ENSMUST00000015434	782
ENSMUST00000015816	658
ENSMUST00000021084	1000
ENSMUST00000021535	3022
ENSMUST00000022315	988
ENSMUST00000020457	1956
ENSMUST00000022590	674
ENSMUST00000018586	629
ENSMUST00000017859	2197
ENSMUST00000020400	2958
ENSMUST00000020018	1219
ENSMUST00000021180	517
ENSMUST00000028726	3089
ENSMUST00000029309	290
ENSMUST00000030357	2354
ENSMUST00000030474	1984
ENSMUST00000032108	962
ENSMUST00000027606	763
ENSMUST00000025841	1954
ENSMUST00000032446	1661
ENSMUST00000029217	799
ENSMUST00000027044	2022
ENSMUST00000031073	993
ENSMUST00000025549	534
ENSMUST00000030560	2085
ENSMUST00000032723	955
ENSMUST00000027585	2744
ENSMUST00000027108	802
ENSMUST00000031261	933
ENSMUST00000027289	3394
ENSMUST00000037881	1205
ENSMUST00000058880	710
ENSMUST00000067387	1552
ENSMUST00000039535	2699
ENSMUST00000041954	892
ENSMUST00000037776	2594
ENSMUST00000062458	2126
ENSMUST00000051236	2742
ENSMUST00000036646	3314
ENSMUST00000053932	3527
ENSMUST00000044682	2608
ENSMUST00000051510	1097
ENSMUST00000054436	4060
ENSMUST00000054781	4460
ENSMUST00000068994	3110
ENSMUST00000045689	497
ENSMUST00000040751	5827
ENSMUST00000054083	4714
ENSMUST00000033224	3487
ENSMUST00000054666	834
ENSMUST00000045180	2006
ENSMUST00000067467	508
ENSMUST00000065379	2833
ENSMUST00000051831	3778
ENSMUST00000044819	551
ENSMUST00000047963	763
ENSMUST00000052315	4296
ENSMUST00000035128	1386
ENSMUST00000061103	5304
ENSMUST00000062600	1110
ENSMUST00000071704	875
ENSMUST00000038007	1152
ENSMUST00000040532	1177
ENSMUST00000044937	1489
ENSMUST00000033830	1087
ENSMUST00000078878	674
ENSMUST00000075848	2261
ENSMUST00000084325	4093
ENSMUST00000109372	603
ENSMUST00000093983	3914
ENSMUST00000102575	5037
ENSMUST00000111643	1592
ENSMUST00000102589	813
ENSMUST00000076541	5248
ENSMUST00000110469	2015
ENSMUST00000085790	2868
ENSMUST00000090406	1895
ENSMUST00000110467	2197
ENSMUST00000110456	891
ENSMUST00000101434	2276
ENSMUST00000105696	412
ENSMUST00000108161	2890
ENSMUST00000097855	449
ENSMUST00000100185	1953
ENSMUST00000090749	746
ENSMUST00000110451	3476
ENSMUST00000095300	674
ENSMUST00000105812	2400
ENSMUST00000101637	2428
ENSMUST00000081260	2361
ENSMUST00000110070	2424
ENSMUST00000101245	2292
ENSMUST00000086002	814
ENSMUST00000090063	2365
ENSMUST00000107937	4706
ENSMUST00000113397	580
ENSMUST00000094041	415
ENSMUST00000096325	2074
ENSMUST00000094532	3847
ENSMUST00000095724	5879
ENSMUST00000092729	1422
ENSMUST00000107330	446
ENSMUST00000111520	1563
ENSMUST00000098949	1109
ENSMUST00000110501	2333
ENSMUST00000111802	748
ENSMUST00000109801	1239
ENSMUST00000110047	2587
ENSMUST00000102728	3988
ENSMUST00000100813	776
ENSMUST00000106047	618
ENSMUST00000112417	1487
ENSMUST00000105597	1133
ENSMUST00000080415	2131
ENSMUST00000111468	1066
ENSMUST00000110417	764
ENSMUST00000112001	3079
ENSMUST00000089187	518
ENSMUST00000101253	3628
ENSMUST00000110811	1155
ENSMUST00000086451	5600
ENSMUST00000091520	595
ENSMUST00000091391	4758
ENSMUST00000110328	575
ENSMUST00000080190	677
ENSMUST00000097974	1907
ENSMUST00000113505	734
ENSMUST00000086900	2149
ENSMUST00000099072	722
ENSMUST00000107205	537
ENSMUST00000113568	1479
ENSMUST00000108278	1806
ENSMUST00000109452	474
ENSMUST00000074163	1856
ENSMUST00000108232	3977
ENSMUST00000113385	485
ENSMUST00000107930	648
ENSMUST00000097473	3966
ENSMUST00000107206	891
ENSMUST00000097470	495
ENSMUST00000106393	843
ENSMUST00000097414	5832
ENSMUST00000105404	6557
ENSMUST00000111729	874
ENSMUST00000110377	769
ENSMUST00000097463	1592
ENSMUST00000107053	834
ENSMUST00000092393	944
ENSMUST00000110393	731
ENSMUST00000122835	780
ENSMUST00000124129	2894
ENSMUST00000123431	748
ENSMUST00000123996	457
ENSMUST00000123262	3897
ENSMUST00000124137	907
ENSMUST00000125591	627
ENSMUST00000123123	732
ENSMUST00000124979	656
ENSMUST00000123662	413
ENSMUST00000126263	1625
ENSMUST00000123320	1238
ENSMUST00000126356	1123
ENSMUST00000125040	2200
ENSMUST00000123877	375
ENSMUST00000124042	497
ENSMUST00000123425	682
ENSMUST00000121215	2564
ENSMUST00000125752	779
ENSMUST00000119076	4325
ENSMUST00000123687	2888
ENSMUST00000126243	2909
ENSMUST00000125805	772
ENSMUST00000124557	1569
ENSMUST00000126129	1813
ENSMUST00000125867	422
ENSMUST00000122242	1750
ENSMUST00000126324	380
ENSMUST00000124554	594
ENSMUST00000123726	3279
ENSMUST00000123267	597
ENSMUST00000123083	323
ENSMUST00000116473	2753
ENSMUST00000125798	949
ENSMUST00000124592	890
ENSMUST00000124764	1419
ENSMUST00000125220	465
ENSMUST00000119485	2119
ENSMUST00000125906	658
ENSMUST00000114663	509
ENSMUST00000123028	569
ENSMUST00000126207	4600
ENSMUST00000116552	888
ENSMUST00000123760	864
ENSMUST00000117467	3195
ENSMUST00000126257	939
ENSMUST00000122913	676
ENSMUST00000124406	607
ENSMUST00000123101	1191
ENSMUST00000125034	624
ENSMUST00000123941	3377
ENSMUST00000124731	745
ENSMUST00000123907	936
ENSMUST00000125633	1760
ENSMUST00000123616	773
ENSMUST00000125167	944
ENSMUST00000123057	990
ENSMUST00000123412	2272
ENSMUST00000123937	793
ENSMUST00000122961	365
ENSMUST00000123926	3433
ENSMUST00000123384	3261
ENSMUST00000126432	737
ENSMUST00000124632	581
ENSMUST00000123819	2789
ENSMUST00000123929	779
ENSMUST00000122818	438
ENSMUST00000124383	553
ENSMUST00000116365	3728
ENSMUST00000122929	2245
ENSMUST00000125059	591
ENSMUST00000125505	659
ENSMUST00000124856	2617
ENSMUST00000122927	1204
ENSMUST00000126091	488
ENSMUST00000123305	625
ENSMUST00000126202	696
ENSMUST00000124762	1427
ENSMUST00000124452	958
ENSMUST00000123531	3002
ENSMUST00000126012	721
ENSMUST00000125816	769
ENSMUST00000125342	598
ENSMUST00000123008	693
ENSMUST00000123164	471
ENSMUST00000124380	1649
ENSMUST00000123788	935
ENSMUST00000123731	2493
ENSMUST00000124812	2429
ENSMUST00000122861	646
ENSMUST00000125229	734
ENSMUST00000117643	2806
ENSMUST00000125652	3386
ENSMUST00000124301	545
ENSMUST00000125239	602
ENSMUST00000124760	790
ENSMUST00000124450	643
ENSMUST00000117537	1620
ENSMUST00000124797	745
ENSMUST00000123408	1313
ENSMUST00000126041	792
ENSMUST00000122838	473
ENSMUST00000126218	304
ENSMUST00000123413	1965
ENSMUST00000124501	2626
ENSMUST00000126374	793
ENSMUST00000124081	801
ENSMUST00000123705	561
ENSMUST00000122285	909
ENSMUST00000124022	593
ENSMUST00000124168	933
ENSMUST00000125429	1203
ENSMUST00000122991	434
ENSMUST00000123856	751
ENSMUST00000116595	667
ENSMUST00000116284	2771
ENSMUST00000119816	1253
ENSMUST00000126346	1894
ENSMUST00000124566	4251
ENSMUST00000124342	1600
ENSMUST00000122885	1233
ENSMUST00000124387	4595
ENSMUST00000124981	3507
ENSMUST00000115337	501
ENSMUST00000123257	766
ENSMUST00000124577	1190
ENSMUST00000114464	2729
ENSMUST00000123967	718
ENSMUST00000125139	1150
ENSMUST00000121533	835
ENSMUST00000122984	2039
ENSMUST00000119672	2051
ENSMUST00000123502	3090
ENSMUST00000126073	6583
ENSMUST00000124011	342
ENSMUST00000123537	781
ENSMUST00000124915	790
ENSMUST00000123843	685
ENSMUST00000125243	1425
ENSMUST00000125753	443
ENSMUST00000125561	1040
ENSMUST00000124247	1330
ENSMUST00000126195	786
ENSMUST00000122979	695
ENSMUST00000123138	719
ENSMUST00000123181	492
ENSMUST00000125502	906
ENSMUST00000124431	621
ENSMUST00000123714	519
ENSMUST00000123328	273
ENSMUST00000123102	447
ENSMUST00000114008	1118
